db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,mihi_full,sentence_pair_count,whole_highsim_ratio,imagery_jaccard_p90,sent_pseudo_ratio,imagery_score,top10_imagery_concentration,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,imagery_entropy,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,core_mihi,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,deepseek-3.2-thinking,祝英台近,22,11,5,11,14336.000000,0.847225,0.668920,112.200000,0.492645,55.000000,0.101818,0.054746,0.739394,0.065740,0.180994,1.000000,0.134545,0.000000,177.600000,0.852771,0.988682,0.216045,0.781056,0.702531,0.788777,0.145913,0.509953,55.000000,0.597385,3.600000,0.604407,0.469661,0.543772,0.053613
b1,五词牌-无主题,deepseek-3.2-thinking,菩萨蛮,26,9,5,9,2304.000000,0.737495,0.513566,75.000000,0.390706,36.000000,0.005556,0.052966,0.750000,0.060606,0.206961,0.872222,0.012963,0.000000,72.000000,0.947762,0.992511,0.211538,0.637286,0.567710,0.582413,0.140385,0.421371,36.000000,0.472078,4.800000,0.491158,0.421066,0.459616,0.012462
b1,五词牌-无主题,doubao-seed-2.0-pro,沁园春,32,20,5,20,118750.000000,0.908144,0.738865,292.200000,0.556660,190.000000,0.332632,0.082492,0.642807,0.083254,0.121555,1.000000,0.334035,0.019318,500.000000,0.707795,0.976619,0.220000,0.888194,0.802152,0.799791,0.146492,0.592914,190.000000,0.673187,3.600000,0.635898,0.458012,0.555849,0.117338
b1,五词牌-无主题,doubao-seed-2.0-pro,浪淘沙,36,16,5,16,12000.000000,0.820643,0.622665,116.600000,0.475732,120.000000,0.026667,0.117336,0.763889,0.137043,0.244784,1.000000,0.066667,0.010000,160.000000,0.480558,0.966923,0.262813,0.748405,0.676633,0.742278,0.168750,0.480355,120.000000,0.558625,2.800000,0.534417,0.438472,0.491242,0.067384
b1,五词牌-无主题,doubao-seed-2.0-pro,清平乐,43,15,5,15,6720.000000,0.813872,0.601397,133.200000,0.447658,105.000000,0.015238,0.049445,0.890794,0.063707,0.154126,0.998095,0.009524,0.000000,120.000000,0.803839,0.990956,0.213333,0.661158,0.607512,0.708375,0.144444,0.469395,105.000000,0.541996,3.400000,0.533140,0.442754,0.492466,0.049529
b1,五词牌-无主题,doubao-seed-2.0-pro,祝英台近,38,11,5,11,14080.000000,0.853034,0.669118,122.600000,0.488504,55.000000,0.130909,0.048180,0.786667,0.058223,0.162353,1.000000,0.087273,0.000000,176.000000,0.872172,0.990756,0.215158,0.770836,0.702006,0.774053,0.147368,0.502160,55.000000,0.593987,3.000000,0.604407,0.469661,0.543772,0.050215
b1,五词牌-无主题,doubao-seed-2.0-pro,菩萨蛮,39,9,5,9,2304.000000,0.794742,0.579284,81.000000,0.444162,36.000000,0.011111,0.052089,0.903704,0.077171,0.194049,0.994444,0.014815,0.000000,72.000000,0.754032,0.992575,0.211538,0.677022,0.623600,0.677278,0.148077,0.480144,36.000000,0.534671,3.200000,0.491158,0.421066,0.459616,0.075054
b1,五词牌-无主题,glm-5,浪淘沙,16,16,5,16,12000.000000,0.797879,0.610147,118.000000,0.451504,120.000000,0.000000,0.095714,0.738889,0.083819,0.229299,1.000000,0.050000,0.000000,160.000000,0.886860,0.972831,0.218750,0.719908,0.649276,0.741566,0.156250,0.457639,120.000000,0.541518,3.000000,0.534417,0.438472,0.491242,0.050276
b1,五词牌-无主题,glm-5,清平乐,15,15,5,15,6720.000000,0.745317,0.552840,103.000000,0.421131,105.000000,0.000000,0.074725,0.809524,0.083438,0.225000,0.990476,0.015873,0.000000,120.000000,0.820112,0.982325,0.214815,0.651845,0.589406,0.658490,0.148148,0.444760,105.000000,0.504204,4.000000,0.533140,0.442754,0.492466,0.011737
b1,五词牌-无主题,glm-5,祝英台近,11,11,5,11,14080.000000,0.831667,0.640954,111.000000,0.483144,55.000000,0.036364,0.096364,0.703030,0.078912,0.172131,1.000000,0.151515,0.000000,176.000000,0.804346,0.991702,0.200000,0.799068,0.715323,0.768362,0.136842,0.511235,55.000000,0.582581,5.000000,0.604407,0.469661,0.543772,0.038809
b1,五词牌-无主题,glm-5,菩萨蛮,9,9,5,9,2304.000000,0.740633,0.518452,69.000000,0.394719,36.000000,0.000000,0.021739,0.805556,0.050660,0.191781,0.972222,0.000000,0.000000,72.000000,0.935945,0.995369,0.201923,0.635240,0.572399,0.592525,0.134615,0.432239,36.000000,0.479656,6.000000,0.491158,0.421066,0.459616,0.020040
