ai_uid,db_key,ai_poem_id,model_name,cipai,title,sentence_count,whole_sem_top1_score,whole_sem_top1_source_poem_id,whole_sem_top1_source_title,whole_sem_top1_source_author,whole_sem_percentile,whole_lex_top1_score,whole_lex_top1_source_poem_id,whole_lex_top1_source_title,whole_lex_top1_source_author,whole_lex_percentile,sem_dominant_source_poem_id,sem_dominant_source_title,sem_dominant_source_author,sem_dominant_source_coverage,lex_dominant_source_poem_id,lex_dominant_source_title,lex_dominant_source_author,lex_dominant_source_coverage,distinct_sem_source_poems,distinct_lex_source_poems,max_consecutive_sem_same_source,max_consecutive_lex_same_source,same_source_sentence_count,max_sentence_sem_score,max_sentence_lex_score
b2:90,b2,90,doubao-seed-2.0-pro,祝英台近,云阁夜坐感事,16,0.8519513607025146,7657,满江红,李曾伯,0.4142857142857143,0.17297297297297298,1266,于飞乐,晏几道,0.14285714285714285,18365,春光好,张元干,0.0625,18365,春光好,张元干,0.0625,16,16,1,1,5,0.915533,0.666667
b1:583,b1,583,deepseek-3.2-thinking,祝英台近,秋思,16,0.8519282341003418,188,玉蝴蝶,柳永,0.4142857142857143,0.4,3184,祝英台令,辛弃疾,1.0,17489,水调歌头,魏了翁,0.0625,17489,水调歌头,魏了翁,0.0625,16,16,1,1,5,1.0,1.0
b1:497,b1,497,deepseek-3.2-thinking,浪淘沙,星际遐思,10,0.8519148230552673,4776,沁园春,汪莘,0.8971428571428571,0.18666666666666668,12855,江城子,贺铸,0.04,18298,永遇乐,张元干,0.1,18298,永遇乐,张元干,0.1,10,10,1,1,2,0.942064,0.857143
b1:403,b1,403,deepseek-3.2-thinking,清平乐,数字幻游,8,0.8519014120101929,7633,水调歌头,李曾伯,0.851123595505618,0.17391304347826086,4506,柳梢青,张,0.0,5199,念奴娇,汪,0.125,701,渔家傲,欧阳修,0.125,8,8,1,1,2,0.864951,0.727273
b1:234,b1,234,qwen3.6-plus,浪淘沙,江晨,10,0.8518982529640198,10072,南浦,王沂孙,0.8971428571428571,0.20689655172413793,599,采桑子,欧阳修,0.48,8407,荔枝香,杨泽民,0.1,19280,渔父词・渔父,赵构,0.1,10,10,1,1,0,0.921257,0.857143
b3:535,b3,535,doubao-seed-2.0-pro,菩萨蛮,见玉兰感怀,8,0.8518791794776917,13569,满江红,无名氏,0.8645484949832776,0.21666666666666667,18415,踏莎行,张焘,0.13712374581939799,6666,沁园春,陈德武,0.125,1368,燕归梁,晏几道,0.125,8,8,1,1,0,0.827599,0.6
b2:613,b2,613,glm-5,清平乐,宗门夜坐,8,0.8518729209899902,1046,诉衷情,王安石,0.851123595505618,0.2037037037037037,324,诉衷情,张先,0.29213483146067415,3248,最高楼,辛弃疾,0.125,3248,最高楼,辛弃疾,0.125,8,8,1,1,3,0.864244,0.8
b2:17,b2,17,doubao-seed-2.0-pro,祝英台近,宗门夜坐书怀,16,0.8518489599227905,4687,一萼红,姜夔,0.4142857142857143,0.18095238095238095,6602,满江红,刘克庄,0.2857142857142857,7202,二郎神,吴潜,0.0625,14435,华胥引,张炎,0.0625,16,16,1,1,3,0.880768,0.857143
b2:293,b2,293,deepseek-3.2-thinking,沁园春,宗门思变,25,0.851809024810791,18974,水龙吟,曹勋,0.04491725768321513,0.381294964028777,1470,沁园春,苏轼,0.9858156028368794,1470,沁园春,苏轼,0.2,1470,沁园春,苏轼,0.24,21,20,2,2,9,1.0,1.0
b1:286,b1,286,qwen3.6-plus,菩萨蛮,秋江暮眺,8,0.8518084287643433,8318,摸鱼儿,李演,0.8645484949832776,0.19548872180451127,10875,小重山,黄子行,0.011705685618729096,2815,醉落魄・一斛珠,赵长卿,0.125,2815,醉落魄・一斛珠,赵长卿,0.125,8,8,1,1,3,0.968308,0.727273
b1:264,b1,264,qwen3.6-plus,浪淘沙,秋江暮望,9,0.8518002033233643,7753,齐天乐,方岳,0.8971428571428571,0.22018348623853212,4003,点绛唇,石孝友,0.6914285714285714,20001,朝中措,张抡,0.1111111111111111,20001,朝中措,张抡,0.1111111111111111,9,9,1,1,3,0.904682,0.727273
b1:312,b1,312,qwen3.6-plus,清平乐,秋江夜泊,8,0.8517979383468628,18190,忆王孙,李重元,0.851123595505618,0.22429906542056074,14070,好事近,向子諲,0.6179775280898876,14801,满庭芳,秦观,0.125,14801,满庭芳,秦观,0.125,8,8,1,1,2,0.90059,0.75
b1:21,b1,21,doubao-seed-2.0-pro,沁园春,暮秋登北固山寄塞上故人,25,0.8517974019050598,9863,酹江月・念奴娇,文天祥,0.04491725768321513,0.22142857142857142,7187,沁园春,吴潜,0.8085106382978723,5489,惜黄花,史达祖,0.04,9216,汉宫春,赵时奚,0.04,25,25,1,1,6,1.0,1.0
