scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
sentence,祝英台近,6-8,semantic,341,0.6860047605904666,0.6841289401054382,0.7657396197319031,0.7946879863739014,0.8261592388153076,0.9055917859077454
sentence,祝英台近,6-8,lexical,341,0.35996058356762173,0.36363636363636365,0.5,0.5,0.6153846153846154,0.8
sentence,祝英台近,9-11,semantic,3,0.6324769854545593,0.6577267646789551,0.6989063739776611,0.7040538251399994,0.70817178606987,0.7092012763023376
sentence,祝英台近,9-11,lexical,3,0.3017740429505135,0.2857142857142857,0.33949579831932775,0.346218487394958,0.3515966386554622,0.35294117647058826
sentence,祝英台近,<=5,semantic,761,0.7049576837114216,0.6975035667419434,0.8216491937637329,0.8569442629814148,0.9435515165328969,1.000000238418579
sentence,祝英台近,<=5,lexical,761,0.40564196352632625,0.4,0.5714285714285714,0.6666666666666666,0.8,1.0
sentence,苏幕遮,6-8,semantic,57,0.6432869371614958,0.6144393682479858,0.7741920351982117,0.7947486639022826,1.0,1.0
sentence,苏幕遮,6-8,lexical,57,0.31279714437609174,0.2857142857142857,0.41142857142857137,0.5714285714285714,1.0,1.0
sentence,苏幕遮,9-11,semantic,2,0.6703413426876068,0.6703413426876068,0.7679217517375946,0.780119302868843,0.7898773437738418,0.7923168540000916
sentence,苏幕遮,9-11,lexical,2,0.3333333333333333,0.3333333333333333,0.4933333333333333,0.5133333333333333,0.5293333333333333,0.5333333333333333
sentence,苏幕遮,<=5,semantic,338,0.6574909634138706,0.6460364162921906,0.7769786477088928,0.8477495491504667,1.0,1.0
sentence,苏幕遮,<=5,lexical,338,0.34543832236139926,0.3333333333333333,0.5,0.5714285714285714,1.0,1.0
sentence,菩萨蛮,15+,semantic,1,0.5422528982162476,0.5422528982162476,0.5422528982162476,0.5422528982162476,0.5422528982162476,0.5422528982162476
sentence,菩萨蛮,15+,lexical,1,0.08,0.08,0.08,0.08,0.08,0.08
sentence,菩萨蛮,6-8,semantic,1196,0.7529946286044392,0.737030565738678,0.9307079315185547,0.9626777619123459,1.0000001192092896,1.0000001192092896
sentence,菩萨蛮,6-8,lexical,1196,0.4048337392818998,0.3333333333333333,0.5,0.5714285714285714,1.0,1.0
sentence,菩萨蛮,9-11,semantic,3,0.5969187021255493,0.5924516320228577,0.6254456162452697,0.6295698642730713,0.6328692626953124,0.6336941123008728
sentence,菩萨蛮,9-11,lexical,3,0.30277777777777776,0.26666666666666666,0.3533333333333334,0.36416666666666664,0.37283333333333335,0.375
sentence,菩萨蛮,<=5,semantic,3577,0.7551318270836191,0.7355797290802002,0.9323464035987854,0.9609141588211059,1.0000001192092896,1.0000005960464478
