db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_sem_p50,sent_score,distinct_category_count,imagery_score,top1_sent_mean,sentence_pair_count,whole_highsim_ratio,top10_imagery_concentration,topk_sent_mean,whole_pseudo_ratio,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,浪淘沙,38,17,5,17,0.000000,0.129103,0.682747,83.200000,0.195312,13600.000000,0.036275,0.976493,170.000000,0.103333,0.503125,0.851915,136.000000,0.807286,0.463450,1.400000,0.168409,0.731272,136.000000,0.117647,0.265678,0.662877,1.000000,0.765196,0.279687,0.584063,0.538508,0.445435,0.496625,0.087438
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,清平乐,31,20,5,20,0.000000,0.359436,0.644378,96.000000,0.209259,12160.000000,0.032982,0.968264,160.000000,0.104040,0.484118,0.827898,190.000000,0.784439,0.471789,2.000000,0.145108,0.717073,190.000000,0.018947,0.259342,0.654518,1.000000,0.811579,0.296296,0.566713,0.519327,0.451810,0.488944,0.077769
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,祝英台近,28,12,5,12,0.000000,0.082763,0.843319,87.200000,0.171579,16896.000000,0.128283,0.986382,192.000000,0.070779,0.591663,0.901169,66.000000,0.868361,0.517554,1.200000,0.155127,0.801611,66.000000,0.693939,0.221732,0.734120,1.000000,0.752525,0.245263,0.696725,0.614704,0.462389,0.546162,0.150563
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,菩萨蛮,28,14,5,14,0.000000,0.686426,0.622361,64.800000,0.192308,5824.000000,0.060806,0.966635,112.000000,0.102626,0.475463,0.814265,91.000000,0.750008,0.485454,2.000000,0.127459,0.740036,91.000000,0.015385,0.335540,0.668749,1.000000,0.797070,0.288462,0.560753,0.501671,0.427962,0.468502,0.092251
b3,五词牌-玉兰主题,qwen3.6-plus,沁园春,13,9,5,9,0.059803,0.000000,0.868275,97.800000,0.188961,22941.600000,0.333333,0.969826,227.200000,0.122292,0.623319,0.905447,36.000000,0.879948,0.545702,1.000000,0.207996,0.907896,36.000000,0.783333,0.267372,0.817803,1.000000,0.466667,0.249214,0.723117,0.614447,0.462355,0.546005,0.177112
b3,五词牌-玉兰主题,qwen3.6-plus,浪淘沙,17,17,5,17,0.043478,0.000000,0.654199,109.000000,0.217054,13600.000000,0.044118,0.957494,170.000000,0.117647,0.482532,0.836857,136.000000,0.785695,0.420243,1.000000,0.205290,0.729240,136.000000,0.051471,0.282051,0.667914,1.000000,0.612745,0.328125,0.548918,0.538508,0.445435,0.496625,0.052293
b3,五词牌-玉兰主题,qwen3.6-plus,清平乐,24,20,5,20,0.019286,0.648924,0.654670,115.200000,0.220795,12160.000000,0.039649,0.956182,160.000000,0.121513,0.480464,0.840356,190.000000,0.781548,0.454667,2.000000,0.133647,0.746201,190.000000,0.058947,0.285147,0.677425,1.000000,0.716491,0.318277,0.564669,0.519327,0.451810,0.488944,0.075725
b3,五词牌-玉兰主题,qwen3.6-plus,祝英台近,12,12,5,12,0.038462,0.000000,0.782992,118.000000,0.199476,17604.000000,0.156566,0.973148,196.000000,0.081667,0.571166,0.888836,66.000000,0.844803,0.520495,1.000000,0.183230,0.824209,66.000000,0.469697,0.233333,0.750365,1.000000,0.702020,0.287939,0.664868,0.614704,0.462389,0.546162,0.118706
b3,五词牌-玉兰主题,qwen3.6-plus,菩萨蛮,14,14,5,14,0.045455,0.000000,0.626336,94.000000,0.192308,5824.000000,0.007326,0.964743,112.000000,0.117647,0.475852,0.814214,91.000000,0.755353,0.437197,1.000000,0.204907,0.692976,91.000000,0.021978,0.280303,0.632608,1.000000,0.754579,0.285714,0.541223,0.501671,0.427962,0.468502,0.072722
c1,沁园春-玉兰主题,deepseek-3.2-thinking,沁园春,103,20,5,20,0.073645,0.208358,0.906847,110.400000,0.183453,118750.000000,0.384211,0.941598,500.000000,0.179212,0.643666,0.915382,190.000000,0.890150,0.547443,1.600000,0.219902,0.902352,190.000000,0.935789,0.321592,0.825620,1.000000,0.410175,0.258798,0.745115,0.635898,0.458012,0.555849,0.189266
c1,沁园春-玉兰主题,doubao-seed-2.0-pro,沁园春,133,20,5,20,0.011692,0.598338,0.927210,161.400000,0.189928,118750.000000,0.461053,0.971558,500.000000,0.088898,0.638800,0.925084,190.000000,0.903581,0.570794,2.000000,0.108886,0.938084,190.000000,0.989474,0.197792,0.847332,1.000000,0.349825,0.271942,0.766823,0.635898,0.458012,0.555849,0.210974
c1,沁园春-玉兰主题,qwen3.6-plus,沁园春,57,20,5,20,0.036843,0.534681,0.886911,179.800000,0.173136,118750.000000,0.254737,0.969849,500.000000,0.092016,0.606477,0.910777,190.000000,0.883777,0.523169,2.400000,0.121292,0.876878,190.000000,0.858947,0.179231,0.797061,1.000000,0.527368,0.233237,0.723227,0.635898,0.458012,0.555849,0.167378
c2,沁园春-改革主题,doubao-seed-2.0-pro,沁园春,70,20,5,20,0.009524,0.550533,0.923333,149.800000,0.189142,118750.000000,0.295789,0.973730,500.000000,0.095137,0.624455,0.926278,190.000000,0.901425,0.531954,3.000000,0.113858,0.884759,190.000000,0.973684,0.195832,0.794495,1.000000,0.494035,0.257822,0.747212,0.635898,0.458012,0.555849,0.191363
