db,db_label,prompt_type,model,category,category_poem_count,category_ratio_in_model,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top5_imageries,signature_top5_imageries,top1_signature_imagery,top1_signature_lift
a1,无限制生成,type_c,qwen3-max,闲适隐逸,2,0.041667,2,1.000000,28,21,14.000000,4.307355,0.053571,0.607143,霜叶:2|烟水:2|孤舟:2|西风:2|雁行:2,霜叶:24.00x|寒沙:24.00x|平桥:24.00x|归桡:24.00x|新茶:24.00x,霜叶,24.000000
a1,无限制生成,type_c,qwen3.5-flash,咏物寄托,1,0.020000,1,1.000000,13,13,13.000000,3.700440,0.076923,0.769231,寒云:1|暮山:1|瘦影:1|窗牖:1|荒郊:1,东风:50.00x|冰窦:50.00x|尺素:50.00x|暮山:50.00x|玉魄:50.00x,东风,50.000000
a1,无限制生成,type_c,qwen3.5-flash,山水田园,2,0.040000,2,1.000000,26,26,13.000000,4.700440,0.038462,0.384615,枫林:1|雁影:1|寒波:1|残霞:1|孤舟:1,乱红:25.00x|宿鹭:25.00x|寒波:25.00x|深浦:25.00x|烟岚:25.00x,乱红,25.000000
a1,无限制生成,type_c,qwen3.5-flash,怀古咏史,5,0.100000,5,1.000000,81,80,16.200000,6.315159,0.012651,0.135802,雁字:2|大江:1|雪浪:1|断壁:1|残垣:1,万帆:10.00x|乱云:10.00x|乱鸦:10.00x|人影:10.00x|千嶂:10.00x,万帆,10.000000
a1,无限制生成,type_c,qwen3.5-flash,悼亡相思,8,0.160000,8,1.000000,93,89,11.625000,6.453137,0.011678,0.150538,雁字:2|落叶:2|西楼:2|竹影:2|碧云:1,东篱:6.25x|乱萍:6.25x|云络:6.25x|凉月:6.25x|凝烟:6.25x,东篱,6.250000
a1,无限制生成,type_c,qwen3.5-flash,春怨秋悲,1,0.020000,1,1.000000,13,13,13.000000,3.700440,0.076923,0.769231,杨柳:1|云山:1|小径:1|晚烟:1|落花:1,小径:50.00x|征衫:50.00x|晚烟:50.00x|杨柳:50.00x|苔色:50.00x,小径,50.000000
a1,无限制生成,type_c,qwen3.5-flash,离别羁旅,23,0.460000,23,1.000000,306,234,13.304348,7.686576,0.005895,0.143791,暮雨:6|雁字:6|孤舟:6|疏星:5|烟波:4,疏星:2.17x|寒塘:2.17x|关河:2.17x|孤篷:2.17x|故园:2.17x,疏星,2.173913
a1,无限制生成,type_c,qwen3.5-flash,谈禅说理,1,0.020000,1,1.000000,9,9,9.000000,3.169925,0.111111,1.000000,暮雨:1|烟霭:1|寒星:1|光纤:1|月华:1,万山:50.00x|万象:50.00x|光纤:50.00x|短长声:50.00x|数据:25.00x,万山,50.000000
a1,无限制生成,type_c,qwen3.5-flash,豪情壮志,3,0.060000,3,1.000000,43,41,14.333333,5.315686,0.026501,0.279070,星河:3|华灯:1|车尘:1|暗香:1|空阶:1,星河:16.67x|九霄:16.67x|云月:16.67x|云舟:16.67x|华灯:16.67x,星河,16.666667
a1,无限制生成,type_c,qwen3.5-flash,闲适隐逸,6,0.120000,6,1.000000,80,79,13.333333,6.296928,0.012813,0.137500,孤鸿:2|野径:1|云:1|翠微:1|霜枫:1,冰弦:8.33x|危阑:8.33x|夜月:8.33x|宿鸟:8.33x|寒泉:8.33x,冰弦,8.333333
a1,无限制生成,type_c,qwen3.6-plus,咏物寄托,1,0.020408,1,1.000000,14,14,14.000000,3.807355,0.071429,0.714286,碎玉:1|飞琼:1|旧苔:1|孤山:1|寒冰:1,冰心:49.00x|冷蕊:49.00x|孤山:49.00x|寒冰:49.00x|寒月:49.00x,冰心,49.000000
a1,无限制生成,type_c,qwen3.6-plus,怀古咏史,2,0.040816,2,1.000000,29,29,14.500000,4.857981,0.034483,0.344828,孤峰:1|暮色:1|烟波:1|长天:1|芦花:1,垂雾:24.50x|孤峰:24.50x|客梦:24.50x|寒川:24.50x|废渡:24.50x,垂雾,24.500000
a1,无限制生成,type_c,qwen3.6-plus,悼亡相思,1,0.020408,1,1.000000,13,13,13.000000,3.700440,0.076923,0.769231,霜枝:1|冷月:1|空庭:1|庭树:1|孤鸿:1,云霭:49.00x|庭树:49.00x|曲径:49.00x|霜枝:49.00x|残灯:24.50x,云霭,49.000000
a1,无限制生成,type_c,qwen3.6-plus,春怨秋悲,2,0.040816,2,1.000000,26,25,13.000000,4.623517,0.041420,0.423077,星斗:2|霓虹:1|碎影:1|寒秋:1|车河:1,大江:24.50x|寒秋:24.50x|斗牛:24.50x|清樽:24.50x|玉镜:24.50x,大江,24.500000
a1,无限制生成,type_c,qwen3.6-plus,离别羁旅,29,0.591837,29,1.000000,392,242,13.517241,7.598834,0.006898,0.168367,孤舟:10|芦花:9|西风:8|雁字:7|汀洲:7,孤灯:1.69x|寒砧:1.69x|流水:1.69x|斜阳:1.69x|云影:1.69x,孤灯,1.689655
a1,无限制生成,type_c,qwen3.6-plus,谈禅说理,2,0.040816,2,1.000000,21,20,10.500000,4.297079,0.052154,0.523810,云鹤:2|星槎:1|青冥:1|银汉:1|远汀:1,云鹤:24.50x|川星:24.50x|川烟:24.50x|河汉:24.50x|玉宇:24.50x,云鹤,24.500000
a1,无限制生成,type_c,qwen3.6-plus,豪情壮志,4,0.081633,4,1.000000,56,52,14.000000,5.651018,0.021046,0.250000,银汉:3|星槎:2|玉盘:2|暮云:1|玉津:1,玉盘:12.25x|云台:12.25x|云帆:12.25x|云舷:12.25x|光轨:12.25x,玉盘,12.250000
a1,无限制生成,type_c,qwen3.6-plus,闲适隐逸,8,0.163265,8,1.000000,108,95,13.500000,6.507157,0.011660,0.194444,雁字:3|落叶:2|西风:2|孤舟:2|暮云:2,松风:6.13x|轻鸥:6.13x|万木:6.13x|丝桐:6.13x|五更钟:6.13x,松风,6.125000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,咏物寄托,15,0.075000,15,1.000000,143,93,9.533333,6.122264,0.022348,0.349650,代码:12|数据:9|荧屏:5|屏幕:5|算法:5,AI:13.33x|比特:13.33x|键声:13.33x|万水:13.33x|云廊:13.33x,AI,13.333333
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,山水田园,5,0.025000,5,1.000000,46,41,9.200000,5.306171,0.026465,0.326087,斜阳:2|归鸟:2|松风:2|远山:2|夕阳:2,万壑:40.00x|东风:40.00x|人寰:40.00x|前山:40.00x|千岩:40.00x,万壑,40.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,怀古咏史,14,0.070000,14,1.000000,177,146,12.642857,7.093229,0.008012,0.141243,雁阵:4|寒烟:3|钟声:3|长空:3|淡云:2,尘烟:14.29x|江山:14.29x|渔樵:14.29x|赤壁:14.29x|铁马:14.29x,尘烟,14.285714
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,悼亡相思,15,0.075000,15,1.000000,161,127,10.733333,6.813624,0.010995,0.204969,明月:8|孤灯:3|轻风:3|空庭:3|西风:3,暮雨:13.33x|书信:13.33x|书简:13.33x|云迹:13.33x|人潮:13.33x,暮雨,13.333333
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,春怨秋悲,19,0.095000,19,1.000000,179,132,9.421053,6.843574,0.010518,0.217877,落叶:5|暮云:5|明月:5|孤灯:4|小楼:4,庭院:10.53x|归鸿:10.53x|书案:10.53x|云窗:10.53x|冷砚:10.53x,庭院,10.526316
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,离别羁旅,56,0.280000,56,1.000000,586,323,10.464286,7.899409,0.006098,0.153584,暮云:15|明月:14|孤舟:10|西风:8|危栏:8,南浦:3.57x|家山:3.57x|沙洲:3.57x|清樽:3.57x|孤篷:3.57x,南浦,3.571429
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,谈禅说理,20,0.100000,20,1.000000,165,135,8.250000,6.913165,0.010174,0.193939,数据:7|算法:5|星河:4|清风:3|网络:3,往事:10.00x|书声:10.00x|书画:10.00x|云川:10.00x|云机:10.00x,往事,10.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,豪情壮志,28,0.140000,28,1.000000,277,199,9.892857,7.439849,0.006920,0.155235,银河:6|数据:6|明月:5|星河:4|网络:4,蟾宫:7.14x|长风:7.14x|北斗:7.14x|白露:7.14x|长虹:7.14x,蟾宫,7.142857
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,闲适隐逸,28,0.140000,28,1.000000,315,241,11.250000,7.698204,0.006097,0.155556,星河:7|明月:7|青山:6|流水:5|清风:5,晨光:7.14x|柴门:7.14x|桃花:7.14x|流泉:7.14x|清泉:7.14x,晨光,7.142857
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,山水田园,18,0.090000,18,1.000000,188,161,10.444444,7.226001,0.007583,0.143617,荷香:6|野岸:3|垂杨:3|归禽:3|归鸦:2,云片:11.11x|晴光:11.11x|稚子:11.11x|轻絮:11.11x|丹萸:11.11x,云片,11.111111
