db,db_label,prompt_type,model,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
a1,无限制生成,type_c,qwen3.6-plus,星斗,9,0.013657,9,0.183673,5,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,星槎,9,0.013657,9,0.183673,6,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,暮云,8,0.012140,8,0.163265,7,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,汀洲,8,0.012140,8,0.163265,8,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,烟波,7,0.010622,7,0.142857,9,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,明月,7,0.010622,7,0.142857,10,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,孤灯,6,0.009105,6,0.122449,11,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,寒霜,5,0.007587,5,0.102041,12,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,江潮,5,0.007587,5,0.102041,13,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,霜天,5,0.007587,5,0.102041,14,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,霜林,5,0.007587,5,0.102041,15,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,长天,5,0.007587,5,0.102041,16,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,枫林,5,0.007587,5,0.102041,17,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,流水,5,0.007587,5,0.102041,18,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,落叶,5,0.007587,5,0.102041,19,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,寒砧,5,0.007587,5,0.102041,20,49,49,659
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,明月,44,0.021474,44,0.220000,1,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,暮云,26,0.012689,26,0.130000,2,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,数据,24,0.011713,24,0.120000,3,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,星河,21,0.010249,21,0.105000,4,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,青山,21,0.010249,21,0.105000,5,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,代码,21,0.010249,21,0.105000,6,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,斜阳,19,0.009273,19,0.095000,7,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,孤舟,17,0.008297,17,0.085000,8,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,星斗,17,0.008297,17,0.085000,9,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,清风,15,0.007321,15,0.075000,10,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,算法,15,0.007321,15,0.075000,11,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,西风,14,0.006833,14,0.070000,12,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,暮色,13,0.006345,13,0.065000,13,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,流水,13,0.006345,13,0.065000,14,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,夜色,13,0.006345,13,0.065000,15,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,孤灯,12,0.005857,12,0.060000,16,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,危栏,12,0.005857,12,0.060000,17,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,网络,12,0.005857,12,0.060000,18,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,清辉,11,0.005368,11,0.055000,19,200,200,2049
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,枫叶,11,0.005368,11,0.055000,20,200,200,2049
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,西风,24,0.009971,24,0.120000,1,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,疏钟,23,0.009555,23,0.115000,2,200,200,2407
