db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,浪淘沙,20,20,5,20,0.638596,0.200121,190.000000,0.217054,0.548898,200.000000,0.045455,0.652867,129.000000,0.000000,1.000000,0.260638,0.785206,0.047368,0.835968,0.956940,19000.000000,0.661607,190.000000,0.718361,0.312500,0.421824,0.481453,0.111111,0.036842,1.000000,0.531713,0.445985,0.493135,0.055763
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,清平乐,33,20,5,20,0.750175,0.148844,190.000000,0.228372,0.566243,160.000000,0.030000,0.651002,119.800000,0.511231,1.000000,0.281591,0.775471,0.060000,0.837555,0.955262,12160.000000,0.674562,190.000000,0.740994,0.317907,0.462649,0.484647,0.114699,0.038246,2.000000,0.519327,0.451810,0.488944,0.077299
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,祝英台近,19,19,5,19,0.715400,0.173301,171.000000,0.188482,0.654290,314.000000,0.037037,0.776394,172.000000,0.000000,1.000000,0.185950,0.842942,0.444444,0.886779,0.968518,46696.000000,0.738694,171.000000,0.804365,0.252632,0.505052,0.560806,0.080000,0.122807,1.000000,0.618637,0.466103,0.549997,0.104293
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,菩萨蛮,16,16,5,16,0.763889,0.194956,120.000000,0.192308,0.542858,128.000000,0.042572,0.625450,108.000000,0.000000,1.000000,0.251613,0.755647,0.016667,0.814311,0.965830,7680.000000,0.637996,120.000000,0.698043,0.285714,0.441913,0.475113,0.105263,0.008333,1.000000,0.503544,0.417356,0.464760,0.078099
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,沁园春,138,20,5,20,0.398596,0.237906,190.000000,0.182734,0.724666,500.200000,0.069254,0.884297,108.400000,0.000000,1.000000,0.323949,0.881204,0.854737,0.909158,0.942173,118845.000000,0.822154,190.000000,0.898773,0.259260,0.529562,0.630861,0.172380,0.350877,1.000000,0.635898,0.458012,0.555849,0.168817
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,沁园春,154,20,5,20,0.377193,0.096986,190.000000,0.195683,0.767388,500.000000,0.007143,0.927228,167.400000,0.643495,1.000000,0.178390,0.905372,0.978947,0.929174,0.975217,118750.000000,0.842449,190.000000,0.933073,0.273525,0.572027,0.636859,0.082717,0.447368,2.000000,0.635898,0.458012,0.555849,0.211539
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,沁园春,64,20,5,20,0.569474,0.125319,190.000000,0.168701,0.708682,500.000000,0.038576,0.873670,188.000000,0.519143,1.000000,0.180273,0.879215,0.804211,0.910737,0.967754,118750.000000,0.780641,190.000000,0.854429,0.227561,0.507030,0.595676,0.097810,0.199649,2.600000,0.635898,0.458012,0.555849,0.152833
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,沁园春,18,18,5,18,0.300654,0.117201,153.000000,0.185714,0.728809,450.000000,0.000000,0.920706,85.000000,0.852792,1.000000,0.316239,0.906490,0.934641,0.935109,0.960053,95625.000000,0.818970,153.000000,0.885035,0.256811,0.494269,0.610752,0.140952,0.346405,3.000000,0.629977,0.456633,0.551972,0.176837
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,沁园春,85,20,5,20,0.425614,0.121691,190.000000,0.194111,0.768078,500.200000,0.021964,0.929135,140.400000,0.623232,1.000000,0.212770,0.907243,0.985263,0.928202,0.970340,118845.000000,0.826947,190.000000,0.924569,0.279137,0.571230,0.642379,0.123227,0.415439,2.800000,0.635898,0.458012,0.555849,0.212229
c2,沁园春-改革主题,type_e,qwen3.6-plus,沁园春,19,19,5,19,0.399610,0.073446,171.000000,0.157706,0.716466,477.000000,0.031250,0.927012,215.000000,0.949452,1.000000,0.172185,0.904122,0.982456,0.928201,0.967198,107776.000000,0.771750,171.000000,0.844930,0.208633,0.459132,0.592541,0.078947,0.214425,2.000000,0.643064,0.459447,0.560436,0.156030
