db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,whole_lex_p50,top1_sent_mean,sentence_count,whole_sem_p50,whole_score,imagery_entropy,topk_sent_mean,imagery_jaccard_p50,sent_highsim_ratio,distinct_category_count,sentence_pair_count,sent_pseudo_ratio,top10_imagery_concentration,whole_pair_count,core_mihi,whole_highsim_ratio,category_entropy,whole_pseudo_ratio,whole_sem_p90,mihi_full,imagery_jaccard_p90,sent_score,whole_lex_p90,distinct_imagery_count,imagery_score,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,qwen3.6-plus,菩萨蛮,18,12,5,12,0.176923,0.670120,96.000000,0.788721,0.673331,0.981960,0.615836,0.000000,0.000284,2.400000,4224.000000,0.547348,0.231218,66.000000,0.534741,0.118182,0.832088,1.000000,0.851112,0.447135,0.065886,0.365354,0.255769,90.400000,0.081310,0.489113,0.294584,0.401575,0.133166
b3,五词牌-玉兰主题,deepseek-3.2-thinking,沁园春,9,9,5,9,0.193896,0.918469,226.000000,0.898386,0.921262,0.968983,0.848260,0.057190,0.002159,2.000000,22700.000000,0.475815,0.360000,36.000000,0.695311,0.972222,0.503258,1.000000,0.925415,0.596687,0.129167,0.419149,0.251799,56.000000,0.177084,0.614447,0.329996,0.486444,0.208867
b3,五词牌-玉兰主题,deepseek-3.2-thinking,浪淘沙,29,17,5,17,0.225000,0.794537,170.000000,0.767702,0.637272,0.916899,0.705935,0.078571,0.003529,2.200000,13600.000000,0.441779,0.472351,136.000000,0.518038,0.025000,0.513317,0.997059,0.828070,0.462727,0.197143,0.372307,0.325000,47.400000,0.228234,0.538508,0.316949,0.438806,0.079231
b3,五词牌-玉兰主题,deepseek-3.2-thinking,清平乐,23,20,5,20,0.240741,0.747894,160.000000,0.775217,0.642988,0.928886,0.669040,0.066900,0.003569,1.000000,12160.000000,0.452253,0.450431,190.000000,0.516306,0.034737,0.000000,1.000000,0.828107,0.468940,0.179152,0.361472,0.348148,58.200000,0.265400,0.519327,0.334526,0.436166,0.080139
b3,五词牌-玉兰主题,deepseek-3.2-thinking,菩萨蛮,21,14,5,14,0.226923,0.799751,112.000000,0.745557,0.622292,0.927405,0.691404,0.106667,0.005563,1.800000,5824.000000,0.485955,0.489321,91.000000,0.516832,0.030769,0.296986,0.989011,0.811198,0.469147,0.215729,0.387937,0.338462,42.800000,0.266691,0.501671,0.304400,0.412899,0.103933
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,沁园春,31,9,5,9,0.158993,0.872875,225.000000,0.901743,0.924023,0.986240,0.795632,0.014009,0.001236,2.000000,22500.000000,0.552773,0.217539,36.000000,0.700898,0.972222,0.659826,1.000000,0.929024,0.585390,0.059048,0.428189,0.222302,89.000000,0.098566,0.614447,0.329996,0.486444,0.214454
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,浪淘沙,38,17,5,17,0.195312,0.731272,170.000000,0.807286,0.682747,0.976493,0.662877,0.000000,0.001088,1.400000,13600.000000,0.552971,0.265678,136.000000,0.549079,0.117647,0.129103,1.000000,0.851915,0.475473,0.094476,0.385708,0.279687,83.200000,0.166195,0.538508,0.316949,0.438806,0.110273
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,清平乐,31,20,5,20,0.209259,0.717073,160.000000,0.784439,0.644378,0.968264,0.654518,0.000000,0.001546,2.000000,12160.000000,0.641102,0.259342,190.000000,0.538040,0.018947,0.359436,1.000000,0.827898,0.461559,0.098889,0.408071,0.296296,96.000000,0.143821,0.519327,0.334526,0.436166,0.101874
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,祝英台近,28,12,5,12,0.171579,0.801611,192.000000,0.868361,0.843319,0.986382,0.734120,0.000000,0.001503,1.200000,16896.000000,0.625012,0.221732,66.000000,0.656690,0.693939,0.082763,1.000000,0.901169,0.560249,0.065262,0.428588,0.245263,87.200000,0.153747,0.614704,0.367900,0.503642,0.153048
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,菩萨蛮,28,14,5,14,0.192308,0.740036,112.000000,0.750008,0.622361,0.966635,0.668749,0.000000,0.002850,2.000000,5824.000000,0.490419,0.335540,91.000000,0.508923,0.015385,0.686426,1.000000,0.814265,0.434838,0.096364,0.370277,0.288462,64.800000,0.125893,0.501671,0.304400,0.412899,0.096024
b3,五词牌-玉兰主题,qwen3.6-plus,沁园春,13,9,5,9,0.188961,0.907896,227.200000,0.879948,0.868275,0.969826,0.817803,0.056152,0.001571,1.000000,22941.600000,0.537841,0.267372,36.000000,0.673008,0.783333,0.000000,1.000000,0.905447,0.583800,0.116499,0.434349,0.249214,97.800000,0.205270,0.614447,0.329996,0.486444,0.186564
b3,五词牌-玉兰主题,qwen3.6-plus,浪淘沙,17,17,5,17,0.217054,0.729240,170.000000,0.785695,0.654199,0.957494,0.667914,0.000000,0.001324,1.000000,13600.000000,0.569191,0.282051,136.000000,0.535336,0.051471,0.000000,1.000000,0.836857,0.468598,0.111111,0.390059,0.328125,109.000000,0.188439,0.538508,0.316949,0.438806,0.096529
b3,五词牌-玉兰主题,qwen3.6-plus,清平乐,24,20,5,20,0.220795,0.746201,160.000000,0.781548,0.654670,0.956182,0.677425,0.009091,0.001859,2.000000,12160.000000,0.633240,0.285147,190.000000,0.546628,0.058947,0.648924,1.000000,0.840356,0.465119,0.109510,0.414576,0.318277,115.200000,0.127078,0.519327,0.334526,0.436166,0.110461
b3,五词牌-玉兰主题,qwen3.6-plus,祝英台近,12,12,5,12,0.199476,0.824209,196.000000,0.844803,0.782992,0.973148,0.750365,0.038462,0.001761,1.000000,17604.000000,0.593274,0.233333,66.000000,0.622323,0.469697,0.000000,1.000000,0.888836,0.538075,0.081667,0.425949,0.287939,118.000000,0.183230,0.614704,0.367900,0.503642,0.118681
b3,五词牌-玉兰主题,qwen3.6-plus,菩萨蛮,14,14,5,14,0.192308,0.692976,112.000000,0.755353,0.626336,0.964743,0.632608,0.045455,0.000343,1.000000,5824.000000,0.575034,0.280303,91.000000,0.515728,0.021978,0.000000,1.000000,0.814214,0.456022,0.117647,0.380540,0.285714,94.000000,0.204907,0.501671,0.304400,0.412899,0.102829
c1,沁园春-玉兰主题,deepseek-3.2-thinking,沁园春,103,20,5,20,0.183453,0.902352,500.000000,0.890150,0.906847,0.941598,0.825620,0.057141,0.001915,1.600000,118750.000000,0.484886,0.321592,190.000000,0.686388,0.935789,0.208358,1.000000,0.915382,0.594745,0.137428,0.416937,0.258798,110.400000,0.203679,0.635898,0.327155,0.496964,0.189424
c1,沁园春-玉兰主题,doubao-seed-2.0-pro,沁园春,133,20,5,20,0.189928,0.938084,500.000000,0.903581,0.927210,0.971558,0.847332,0.000000,0.002289,2.000000,118750.000000,0.574375,0.197792,190.000000,0.714560,0.989474,0.598338,1.000000,0.925084,0.596328,0.068829,0.454653,0.271942,161.400000,0.099776,0.635898,0.327155,0.496964,0.217596
c1,沁园春-玉兰主题,qwen3.6-plus,沁园春,57,20,5,20,0.173136,0.876878,500.000000,0.883777,0.886911,0.970086,0.797061,0.017660,0.001226,2.400000,118750.000000,0.544610,0.178428,190.000000,0.679923,0.858947,0.534681,1.000000,0.910777,0.570575,0.075177,0.426937,0.233237,180.800000,0.110184,0.635898,0.327155,0.496964,0.182959
c2,沁园春-改革主题,doubao-seed-2.0-pro,沁园春,70,20,5,20,0.189142,0.884759,500.000000,0.901425,0.923333,0.973730,0.794495,0.000000,0.001433,3.000000,118750.000000,0.521256,0.195832,190.000000,0.697903,0.973684,0.550533,1.000000,0.926278,0.584067,0.067738,0.422378,0.257822,149.800000,0.103675,0.635898,0.327155,0.496964,0.200940
